,Товар,Количество,Сумма,Процент_продаж,Процент_колво,Сумма_продаж,Сумма_колво
4744,4944.0,725,5092324.27,1.033085960692397,1.537776269460824,3.8324297223561667,1.537776269460824
4714,4911.0,580,1823693.31,0.36997485927376883,1.230221015568659,13.936921275028244,2.767997285029483
3366,3487.0,435,4566229.85,0.9263565517852519,0.9226657616764942,4.758786274141419,3.690663046705977
417,434.0,430,1747247.86,0.3544662787187029,0.9120604080940059,14.291387553746947,4.602723454799983
2542,2635.0,425,1211674.74,0.24581391452112109,0.9014550545115175,24.168217257287218,5.5041785093115
4860,5064.0,423,2394352.38,0.485745152424951,0.897212913078522,8.220382438188455,6.401391422390022
4816,5019.0,399,3056367.99,0.6200490569267383,0.8463072158825776,6.1507986836539,7.2476986382726
4742,4942.0,373,1114453.77,0.2260905791900235,0.7911593772536376,26.5437425533998,8.038858015526237
2617,2715.0,303,1920850.19,0.38968519258934065,0.6426844270987995,12.04024286929903,8.681542442625037
4845,5049.0,299,827954.0,0.16796802562989824,0.6342001442328087,33.7316408544115,9.315742586857846
454,471.0,296,944121.67,0.19153510081997593,0.6278369320833157,30.867685107255667,9.943579518941162
4919,5125.0,292,1355921.62,0.275077452878171,0.6193526492173249,20.27699865698437,10.562932168158486
4563,4757.0,281,6684277.87,1.3560475057618198,0.5960208713358504,2.7993437616637697,11.158953039494337
2707,2812.0,263,1286016.4,0.2608956966639082,0.5578415984388919,22.420013447678535,11.716794637933228
2784,2892.0,250,1189497.78,0.241314847923613,0.5302676791244221,25.136859674420325,12.247062317057651
4880,5084.0,244,1900177.92,0.38549138426522095,0.5175412548254359,12.42573425356425,12.764603571883086
345,359.0,235,745012.3,0.15114154300962307,0.4984516183769567,35.120845573107744,13.263055190260042
2734,2839.0,223,1854802.88,0.3762860952253979,0.4729987697789845,13.566946415754474,13.736053960039026
426,443.0,217,558870.44,0.1133787195782767,0.4602723454799983,40.92106408755308,14.196326305519024
2601,2699.0,207,1297351.9,0.26319534320771104,0.4390616383150215,22.159117751014627,14.635387943834045
2281,2366.0,207,1361297.89,0.27616814325125116,0.4390616383150215,20.0019212041062,15.074449582149066
4745,4945.0,197,1973048.19,0.4002746637457448,0.41785093115004457,11.65055767670969,15.49230051329911
297,308.0,168,598554.43,0.12142945844712284,0.3563398803716116,39.27503836468905,15.848640393670722
4607,4801.0,166,2206847.39,0.44770578916799014,0.3520977389386162,9.12856496783389,16.200738132609338
4872,5076.0,157,664880.0,0.1348850067525572,0.333008102490137,38.130325584794925,16.533746235099475
4720,4918.0,156,1350059.35,0.2738881670994811,0.3308870317736393,21.099733583851233,16.864633266873113
2946,3060.0,156,7114347.53,1.4432962559019502,0.3308870317736393,1.4432962559019502,17.195520298646752
5091,5305.0,155,1243402.02,0.25225046604476487,0.3287659610571416,22.93080348044252,17.524286259703892
2427,2519.0,153,2269798.42,0.4604767404774451,0.3245238196241463,8.6808591786659,17.84881007932804
4609,4803.0,147,2775466.04,0.5630621398551516,0.31179739532516015,6.713860823509052,18.1606074746532
2681,2783.0,145,408569.1,0.0828869056256561,0.30755525389216476,48.04932004565981,18.468162728545366
1727,1789.0,143,2509572.85,0.5091200680096923,0.30331311245916937,7.734637285763504,18.771475841004534
985,1015.0,141,677940.98,0.13753470350309116,0.299070971026174,37.589425823677026,19.07054681203071
4692,4889.0,140,873276.0,0.17716255438101033,0.29694990030967633,32.52800731811521,19.367496712340387
2818,2927.0,138,600474.49,0.12181898333291474,0.29270775887668093,39.03188435945492,19.660204471217067
4786,4987.0,138,685606.29,0.1390897741791687,0.29270775887668093,37.31341318323309,19.952912230093748
5112,5329.0,135,756700.75,0.15351279294521583,0.2863445467271879,34.20605290722085,20.239256776820937
2760,2866.0,128,666378.99,0.13518910866007738,0.2714970517117041,37.860326026578825,20.510753828532643
3116,3231.0,128,1890775.93,0.38358399122491676,0.2714970517117041,12.809318244789168,20.782250880244348
5121,5338.0,127,682590.4,0.13847793694084756,0.2693759809952064,37.45189112017393,21.051626861239555
4774,4975.0,122,812341.15,0.16480062793756783,0.25877062741271795,33.89644148234907,21.310397488652274
1176,1211.0,119,1978978.74,0.40147780157030916,0.25240741526322485,11.250283012963946,21.5628049039155
4694,4891.0,118,529276.04,0.10737486799026402,0.25028634454672716,42.01643037817501,21.813091248462225
5106,5322.0,116,954231.24,0.19358604146748443,0.24604420311373182,30.48439148761512,22.05913545157596
4827,5030.0,116,525742.98,0.10665811185087468,0.24604420311373182,42.123088490025886,22.30517965468969
5148,5367.0,116,755105.08,0.1531890774496003,0.24604420311373182,34.51267589926247,22.551223857803425
4489,4681.0,111,1298358.95,0.26339964465466414,0.23543884953124336,21.895922407806914,22.786662707334667
5088,5302.0,109,1061003.16,0.2152469895335768,0.23119670809824802,27.42255890200203,23.017859415432916
4485,4676.0,108,1138169.97,0.23090191326105136,0.22907563738175032,26.317651974209774,23.246935052814667
2400,2491.0,108,617524.98,0.12527803678434118,0.22907563738175032,38.910065376122006,23.476010690196418
4032,4194.0,108,1572100.79,0.318933981582918,0.22907563738175032,16.29579297739013,23.70508632757817
4826,5029.0,107,404377.29,0.08203650808000058,0.2269545666652526,48.29669712947552,23.93204089424342
5125,5343.0,106,460326.8,0.09338705259051716,0.2248334959487549,45.238079689321545,24.156874390192176
4335,4519.0,106,580639.98,0.11779513238946078,0.2248334959487549,40.110622745906845,24.38170788614093
4882,5086.0,106,1155789.29,0.23447636593999416,0.2248334959487549,26.086750060948724,24.606541382089684
2497,2590.0,105,1370698.64,0.27807528473126125,0.22271242523225726,19.449016819397166,24.82925380732194
4886,5090.0,104,1213874.95,0.24626027377498202,0.22059135451575956,23.922403342766096,25.0498451618377
4601,4795.0,103,566116.5,0.11484873650167557,0.21847028379926187,40.8076853679748,25.26831544563696
310,322.0,103,1224119.93,0.24833868521235392,0.21847028379926187,23.428653393685373,25.486785729436225
428,445.0,100,731442.26,0.14838857264349312,0.2121070716497688,36.16646023254633,25.698892801085993
5172,5391.0,100,504512.42,0.10235104256173892,0.2121070716497688,43.37398339114881,25.91099987273576
4600,4794.0,99,747328.46,0.15161142517969886,0.2099860009332711,34.96970403009812,26.12098587366903
5078,5292.0,98,571617.33,0.11596469651204537,0.2078649302167734,40.57737350358465,26.328850803885803
3240,3356.0,97,1611743.55,0.3269763560719837,0.20574385950027577,15.976858995807211,26.53459466338608
2768,2874.0,97,859729.23,0.17441430482781978,0.20574385950027577,32.87847600756794,26.740338522886358
2541,2634.0,97,732626.47,0.14862881475311657,0.20574385950027577,36.01807165990284,26.946082382386635
3720,3854.0,96,212084.96,0.04302593138869544,0.20362278878377804,63.29701617558606,27.149705171170414
4671,4868.0,95,1188278.49,0.2410674890921196,0.20150171806728034,25.377927163512446,27.351206889237694
2731,2836.0,94,945222.95,0.19175851882057218,0.19938064735078265,30.67615000643569,27.550587536588477
2343,2430.0,94,3805189.37,0.7719633525857432,0.19938064735078265,5.530749626727162,27.74996818393926
1770,1833.0,94,2099034.36,0.4258336298617038,0.19938064735078265,10.429202829424872,27.94934883129004
3611,3743.0,92,424394.53,0.08609742967873653,0.1951385059177873,47.28822795842029,28.144487337207828
2723,2828.0,89,453492.15,0.09200049890955013,0.18877529376829422,45.88502031041954,28.333262630976122
336,349.0,88,388096.47,0.07873359850889426,0.18665422305179655,49.02297403277196,28.51991685402792
1734,1796.0,88,1389494.32,0.2818883869808686,0.18665422305179655,18.33237275978364,28.706571077079715
2509,2602.0,87,1353768.0,0.27464054539374905,0.18453315233529885,20.55163920237812,28.891104229415014
